balls,strikes,rv_ball,rv_strike,rv_foul,rv_hbp,rv_single,rv_double,rv_triple,rv_home_run,rv_out
0,0,0.038,-0.039,-0.039,0.339,0.468,0.769,1.039,1.401,-0.262
0,1,0.027,-0.054,-0.054,0.378,0.508,0.809,1.079,1.441,-0.222
0,2,0.023,-0.167,0.001,0.433,0.563,0.863,1.133,1.496,-0.167
1,0,0.068,-0.05,-0.05,0.302,0.431,0.732,1.002,1.364,-0.299
1,1,0.05,-0.057,-0.057,0.353,0.482,0.783,1.053,1.416,-0.248
1,2,0.042,-0.19,0.001,0.411,0.54,0.841,1.111,1.473,-0.19
2,0,0.155,-0.068,-0.068,0.235,0.364,0.665,0.935,1.297,-0.366
2,1,0.098,-0.064,-0.064,0.304,0.434,0.734,1.004,1.367,-0.296
2,2,0.093,-0.231,0.001,0.369,0.499,0.8,1.07,1.432,-0.231
3,0,0.056,-0.125,-0.125,0.081,0.211,0.511,0.781,1.144,-0.519
3,1,0.181,-0.07,-0.07,0.207,0.336,0.637,0.907,1.269,-0.394
3,2,0.252,-0.323,0.001,0.278,0.407,0.708,0.978,1.34,-0.323
